PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE
UZE,UZE,USM,,BB,9.5,11/29/2024,,,0.34,5.50%,21.08,14.93,84.95145631,Communication Services,,,
UZF,UZF,USM,,BB,9.5,11/29/2024,6.01.2026,,0.34,5.50%,21.75,15.44,84.95145631,Communication Services,,,
VNO PRL,VNO-L,VNO,,,10.5,12/13/2024,,,0.34,5.40%,24.16,13.75,208.6802927,REIT,,,
VNO PRM,VNO-M,VNO,,,10.5,12/13/2024,,,0.33,5.25%,23.04,13.71,208.6802927,REIT,,,
VNO PRN,VNO-N,VNO,,,10.5,12/13/2024,,,0.33,5.25%,22.92,13.76,208.6802927,REIT,,,
VNO PRO,VNO-O,VNO,,,10.5,12/13/2024,,,0.28,4.50%,19.07,11.06,208.6802927,REIT,,,
WAFDP,WAFDP,WAFD,,,10,12/27/2024,4/15/2026,,0.3,4.88%,22.02,12.06,80.21390374,REGIONAL BANK,,,
WBS PRF,WBS-F,WBS,,,10,11/27/2024,,,0.33,5.25%,24.04,15.52,168.241966,REGIONAL BANK,,,
WFC PRA,WFC-A,WFC,,,11,11/27/2024,12/15/2025,,0.29,4.70%,21.54,17.53,3254.134944,BANK,,,
WFC PRC,WFC-C,WFC,,,11,11/27/2024,,,0.27,4.38%,20.19,16.05,3254.134944,BANK,,,
WFC PRD,WFC-D,WFC,,,11,11/27/2024,,,0.27,4.25%,19.89,15.56,3254.134944,BANK,,,
WFC PRY,WFC-Y,WFC,,,11,11/27/2024,,,0.35,5.63%,25.36,21.19,3254.134944,BANK,,,
WFC PRZ,WFC-Z,WFC,,,11,11/27/2024,,,0.3,4.75%,21.08,17.49,3254.134944,BANK,,,
