PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.5,19.7,11.6,14.41,2.81,-5.29,14.87,14.85,-3.08,-2.98,12.51,17.34,10.03,17.34,21.0,14.2,1.69,-3.14,63.29,38.46,40.52,45.89,-5.5,2.6,67.7,48.51,-3.14,4.17,45.33,53.71,22641.0,22759.0,17165.0,20855.0,59.57,0.08,353.56,2.07,702.15,6
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.3,4.88,22.2,12.6,16.48,3.95,-5.65,16.5,16.87,0.29,-1.9,15.44,19.75,12.02,19.75,35.0,16.37,0.93,-3.38,43.56,33.74,61.41,49.35,-5.83,3.77,71.07,37.9,-3.38,4.35,48.83,52.06,18422.0,19114.0,20874.0,19470.0,51.95,0.07,320.53,2.07,702.15,8
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25,24.4,15.52,19.31,3.78,-5.1,19.63,20.32,-1.67,-5.01,18.02,22.54,15.1,22.54,10.0,19.01,0.99,-3.53,55.04,47.32,59.76,51.51,-5.39,3.49,66.57,40.44,-3.53,3.91,51.02,56.09,6954.0,7228.0,3740.0,5974.0,59.39,0.07,354.35,2.07,702.15,8
WFC PRA,WFC,,11,11/27/2024,12/15/2025,,0.29,4.7,21.54,17.53,18.68,1.15,-2.86,19.49,20.35,-4.17,-8.19,18.16,22.21,17.36,22.21,5.0,18.41,0.25,-3.8,69.68,61.19,80.1,55.41,-3.13,0.88,43.45,64.09,-3.8,1.05,54.96,82.3,74488.0,65364.0,72287.0,70713.0,78.78,0.06,449.42,2.07,702.15,2
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38,20.19,16.05,17.5,1.45,-2.69,18.28,19.19,-4.29,-8.82,16.92,21.18,15.89,21.18,5.0,17.25,0.33,-3.93,70.38,63.94,77.9,57.28,-2.94,1.2,41.51,61.19,-3.93,1.36,56.86,79.46,71783.0,60842.0,45457.0,59361.0,78.78,0.06,447.56,2.07,702.15,2
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25,19.89,15.56,17.06,1.5,-2.83,17.81,18.7,-4.21,-8.79,16.53,20.8,15.47,20.8,5.0,16.8,0.27,-4.0,69.91,63.81,79.55,58.29,-3.09,1.24,43.04,60.83,-4.0,1.33,57.88,79.74,87632.0,82292.0,87871.0,85932.0,78.78,0.06,455.36,2.07,702.15,9
WFC PRY,WFC,,11,11/27/2024,,,0.35,5.63,25.36,21.19,23.02,1.83,-2.34,23.63,24.08,-2.58,-4.41,22.0,25.36,21.08,25.36,5.0,22.69,0.69,-2.67,60.37,44.7,68.01,39.12,-2.67,1.5,38.75,58.47,-2.67,1.61,38.47,77.17,46935.0,38849.0,29591.0,38458.0,78.78,0.06,400.43,2.07,702.15,4
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75,21.8,17.49,18.98,1.49,-2.82,19.78,20.47,-4.04,-7.3,18.45,22.29,17.33,22.29,5.0,18.7,0.25,-3.59,68.92,57.31,80.1,52.38,-3.1,1.21,43.15,61.1,-3.59,1.37,51.9,79.37,162798.0,138047.0,140938.0,147261.0,78.78,0.06,460.23,2.07,702.15,9
WRB PRE,WRB,BB,11.5,12/13/2024,,,0.36,5.7,25.59,21.77,21.67,-0.1,-3.92,22.39,23.79,-3.23,-8.92,20.43,25.62,20.43,25.68,21.0,21.39,0.96,-4.23,64.17,64.38,60.58,61.6,-4.2,-0.38,54.4,75.5,-4.29,0.96,62.12,83.13,9073.0,12399.0,11435.0,10969.0,73.47,0.07,433.9,2.07,702.15,2
WRB PRF,WRB,BB,11.5,12/13/2024,,,0.32,5.1,24.51,18.93,19.4,0.47,-5.11,20.22,21.49,-4.03,-9.72,19.0,24.54,18.79,24.54,21.0,19.15,0.15,-5.39,68.86,67.87,82.85,78.32,-5.36,0.22,66.27,70.07,-5.39,0.36,78.18,88.63,19806.0,22803.0,18314.0,20308.0,73.47,0.07,464.08,2.07,702.15,2
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25,21.25,17.35,16.37,-0.98,-4.88,17.24,18.67,-5.07,-12.32,15.95,21.1,15.95,22.29,21.0,16.16,0.21,-4.94,74.95,79.22,81.2,71.84,-5.09,-1.19,63.5,82.84,-6.13,0.21,88.98,90.0,7005.0,7621.0,6995.0,7207.0,73.47,0.06,472.82,2.07,702.15,2
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13,20.85,15.6,15.97,0.37,-4.88,16.98,18.24,-5.96,-12.44,15.55,21.15,15.4,21.15,21.0,15.77,0.22,-5.38,80.16,79.74,80.93,78.18,-5.08,0.17,63.4,70.52,-5.38,0.37,78.03,88.53,11033.0,11602.0,16861.0,13165.0,73.47,0.06,471.56,2.07,702.15,10
