PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
CCIA,CCIA,CCIF,,Term,8.0,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,15.39,Cef,,88.0,,,,,,25.49,,,25.82,25.81,-1.29,-1.24,25.0,27.79,24.1,27.79,25.49,0.49,-2.3,54.256348,51.116526,74.898876,39.103448,-2.3,1.39,35.156483,80.057143,3807,4939,6088,4945
CFG PRH,CFG-H,CFG,,,10.5,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,433.40,Regionalbank,,30.0,,,,,,26.37,,,,,,,24.95,27.69,24.95,27.69,26.06,1.11,-1.63,,,63.752809,29.862069,-1.63,1.11,27.168405,81.657143,32149,25556,30566,29424
CGBDL,CGBDL,CGBD,,,8.0,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,84.0,,,,,,25.28,,,25.73,25.66,-1.74,-1.49,25.05,26.66,25.05,26.66,25.25,0.2,-1.41,56.43289,52.002658,80.11236,26.827586,-1.41,0.2,24.545455,86.857143,8504,9765,6241,8170
CHMI PRA,CHMI-A,CHMI,,,8.0,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.6,32.66,Reit,,37.0,,,,,,21.26,1.66,-1.39,21.84,22.73,-2.66,-6.46,19.2,24.4,17.75,25.0,20.96,1.76,-3.44,60.882709,69.618963,52.067416,54.827586,-4.04,3.21,55.901639,69.657143,2838,2609,1750,2399
CHMI PRB,CHMI-B,CHMI,FF,,8.0,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,32.66,Reit,,37.0,,,,,,24.23,,,24.15,24.63,0.31,-1.62,22.23,25.38,20.2,25.6,23.85,1.62,-1.53,46.517533,52.463447,54.58427,28.482759,-1.75,3.65,28.599106,67.142857,4746,3807,1934,3496
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,23.0,,,,,,26.03,0.96,-1.27,25.77,25.87,1.0,0.6,25.31,26.42,24.92,26.75,25.68,0.37,-0.74,43.180169,44.594595,77.05618,17.586207,-1.07,0.76,20.491803,83.657143,23408,24464,14431,20768
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,23.0,,,,,,24.9,0.85,-1.5,24.89,25.17,0.04,-1.06,23.8,26.19,23.51,26.19,24.59,0.79,-1.6,47.823458,50.478511,69.505618,29.448276,-1.6,1.08,26.81073,81.828571,18296,18651,14023,16990
CHSCN,CHSCN,-,,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,-,-,,23.0,,,,,,25.52,0.9,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.9,25.19,0.71,-1.4,44.340992,47.678334,70.94382,26.689655,-1.71,0.78,28.122206,83.542857,13343,13795,11246,12795
CHSCO,CHSCO,-,,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,23.0,,,,,,26.28,0.65,-2.02,26.41,26.7,-0.47,-1.52,25.6,27.44,25.46,27.73,25.93,0.33,-1.51,50.290206,52.108994,77.775281,28.206897,-1.8,0.47,29.195231,85.314286,15863,18969,10987,15273
CICB,CICB,CION,,,8.0,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,52.69,Assetmanagement,,22.0,,,,,,24.86,,,,,,,24.32,163.1,24.32,163.1,24.5,0.18,-138.6,,,80.47191,,-138.6,0.18,,86.971429,18921,13487,6502,12970
CIM PRB,CIM-B,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,12.0,,,,,,25.06,,,24.47,24.76,2.41,1.2,21.6,25.59,18.83,25.59,24.5,2.9,-1.09,36.360339,42.467878,31.573034,22.413793,-1.09,5.67,20.730253,55.6,26600,32643,28683,29309
CIM PRC,CIM-C,CIM,NFF,,8.0,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,80.92,Reit,,12.0,,,,,,22.88,,,22.86,22.75,0.11,0.56,20.26,24.6,17.11,24.6,22.46,2.2,-2.14,47.484885,44.736376,44.157303,36.896552,-2.14,5.35,33.248882,57.428571,18821,17160,12155,16045
CIM PRD,CIM-D,CIM,FF,,8.0,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,80.92,Reit,,12.0,,,,,,24.85,,,24.23,24.49,2.54,1.48,20.77,25.21,18.76,25.25,24.3,3.53,-0.91,35.73156,41.47541,20.247191,19.931034,-0.95,5.54,19.061103,56.342857,22182,18891,20276,20450
CIMN,CIMN,CIM,,BB,8.0,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,80.92,Reit,,70.0,,,,,,24.65,,,,,,,23.62,25.85,23.62,25.85,24.53,0.91,-1.32,,,67.348315,25.586207,-1.32,0.91,23.472429,82.8,10965,10087,9418,10157
CIMO,CIMO,CIM,,,8.0,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,80.92,Reit,,70.0,,,,,,25.09,,,,,,,24.12,26.25,24.12,26.25,24.96,0.84,-1.29,,,68.606742,25.172414,-1.29,0.84,23.114754,83.2,16467,13147,8409,12674
CMRE PRB,CMRE-B,CMRE,,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,50.0,,,,,,24.97,0.15,-0.21,25.45,25.69,-1.89,-2.81,24.02,26.34,22.13,28.16,24.76,0.74,-1.58,57.158404,56.681436,70.404494,29.172414,-3.4,2.63,48.271237,72.971429,1565,2224,3090,2293
CMRE PRC,CMRE-C,CMRE,,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,50.0,,,,,,25.5,0.33,0.18,25.98,26.09,-1.84,-2.27,25.05,27.19,23.61,27.19,25.26,0.21,-1.93,56.916566,54.76739,79.932584,34.0,-1.93,1.65,30.745156,78.571429,3258,3984,5382,4208
CMRE PRD,CMRE-D,CMRE,,,8.0,07/10/2025,5/13/2020,NONE,0.55,8.75%,25.83,25.07,119.96,Marineshipping,,50.0,,,,,,26.2,1.13,0.37,26.32,26.29,-0.44,-0.35,24.54,27.29,24.54,27.29,25.96,1.42,-1.33,50.145103,47.961896,58.179775,25.724138,-1.33,1.42,23.591654,79.885714,3181,3231,2365,2925
CNOBP,CNOBP,CNOB,NFF,,8.0,05/15/2025,9/1/2026,NONE,0.33,5.25%,,,38.47,Regionalbank,,84.0,,,,,,22.45,,,22.63,21.51,-0.78,4.37,20.29,23.42,14.63,23.42,22.43,2.14,-0.99,51.789601,31.231724,45.235955,21.034483,-0.99,7.8,19.538003,43.428571,5264,6300,13225,8263
CODI PRA,CODI-A,CODI,,,8.0,06/17/2025,7/30/2022,NONE,0.45,7.25%,25.08,22.03,75.24,Conglomerates,,27.0,,,,,,12.99,-9.04,-12.09,21.97,23.44,-40.88,-44.59,12.85,25.11,12.85,26.06,12.68,-0.17,-12.43,,,86.764045,,-13.38,-0.17,,88.971429,10310,11412,27134,16285
CODI PRB,CODI-B,CODI,,FF,8.0,06/17/2025,4/30/2028,NONE,0.49,7.88%,26.85,23.5,75.24,Conglomerates,,27.0,,,,,,15.22,-8.28,-11.63,22.4,23.79,-32.07,-36.02,15.15,25.08,15.15,26.5,14.88,-0.27,-10.2,,,88.561798,,-11.62,-0.27,,89.542857,40547,49132,73827,54502
CODI PRC,CODI-C,CODI,,,8.0,06/17/2025,1/30/2025,NONE,0.49,7.88%,25.79,23.89,75.24,Conglomerates,,27.0,,,,,,,-8.76,-10.66,22.55,23.84,-32.9,-36.54,15.13,25.18,15.13,25.91,14.79,-0.34,-10.39,,,89.820225,,-11.12,-0.34,,89.942857,39463,47044,73125,53211
