"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"ATH PRC","ATH-C","-","NFF","","11.500000","06/13/2025","9/30/2025","NONE","0.400000","6.38%","","","-","-","","23.000000","","","","","","25.150000","","","25.100000","25.090000","0.220000","0.240000","24.240000","25.460000","22.050000","25.640000","24.850000","0.610000","-0.610000","46.952842","45.870625","72.741573","15.793103","-0.790000","2.800000","17.153502","72.000000"
"ATH PRE","ATH-E","-","NFF","","11.500000","06/13/2025","12/30/2027","NONE","0.480000","7.75%","","","-","-","","23.000000","","","","","","25.700000","","","25.790000","26.250000","-0.360000","-2.100000","24.170000","27.500000","23.610000","27.500000","25.340000","1.170000","-2.160000","49.758162","54.164821","62.674157","37.172414","-2.160000","1.730000","33.487332","78.114286"
"ATHS","ATHS","-","NFF","","12.000000","06/12/2025","3/30/2029","3/30/2064","0.450000","7.25%","","","-","-","","22.000000","","","","","","24.890000","","","25.210000","25.340000","-1.270000","-1.780000","24.010000","26.250000","24.010000","26.250000","24.550000","0.540000","-1.700000","54.159613","53.030572","74.000000","30.827586","-1.700000","0.540000","28.002981","84.914286"
"ATLCL","ATLCL","ATLC","","","8.000000","07/11/2025","10/2/2026","12/31/2026","0.380000","6.13%","24.520000","21.610000","15.11","Creditservices","","51.000000","","","","","","24.150000","2.540000","-0.370000","24.050000","23.500000","0.400000","2.780000","22.900000","24.760000","20.620000","24.760000","23.990000","1.090000","-0.770000","46.082225","36.867523","64.112360","18.000000","-0.770000","3.370000","16.915052","68.742857"
"ATLCP","ATLCP","ATLC","","","8.000000","05/30/2025","6/11/2026","NONE","0.480000","7.63%","24.150000","20.610000","15.11","Creditservices","","9.000000","","","","","","23.210000","2.600000","-0.940000","23.240000","23.040000","-0.140000","0.720000","21.660000","24.500000","17.990000","24.800000","22.780000","1.120000","-1.720000","48.694075","44.169251","63.573034","31.103448","-2.020000","4.790000","31.818182","60.628571"
"ATLCZ","ATLCZ","ATLC","","BB","8.000000","07/01/2025","1/31/2028","1/31/2029","0.580000","9.25%","","","15.11","Creditservices","","41.000000","","","","","","25.210000","","","24.980000","24.970000","0.900000","0.980000","23.400000","25.500000","23.400000","25.500000","24.890000","1.490000","-0.610000","43.663845","43.247674","56.921348","15.793103","-0.610000","1.490000","15.007452","79.485714"
"AUB PRA","AUB-A","AUB","","","8.000000","05/16/2025","9/1/2025","NONE","0.430000","6.88%","26.140000","19.250000","142.37","Regionalbank","","85.000000","","","","","","24.450000","5.200000","-1.690000","24.610000","24.200000","-0.640000","1.010000","22.860000","25.930000","19.210000","25.930000","24.430000","1.570000","-1.500000","51.112455","43.141338","55.483146","28.068966","-1.500000","5.220000","25.618480","58.171429"
"BAC PRE","BAC-E","BAC","FLR","","11.000000","07/25/2025","11/15/2011","NONE","0.310000","4.00%","","","7537.21","Bank","","65.000000","","","","","","22.030000","","","22.850000","23.640000","-3.590000","-6.820000","20.810000","25.500000","19.520000","25.500000","21.940000","1.130000","-3.560000","65.380895","70.894993","63.393258","56.482759","-3.560000","2.420000","50.178838","74.171429"
"BANC PRF","BANC-F","BANC","NFF","","8.000000","05/19/2025","9/1/2027","NONE","0.490000","7.75%","","","169.33","Regionalbank","","88.000000","","","","","","24.720000","","","24.850000","24.280000","-0.530000","1.800000","23.390000","25.600000","20.940000","25.600000","24.710000","1.320000","-0.890000","50.580411","40.341161","59.977528","19.655172","-0.890000","3.770000","18.345753","66.457143"
"BANFP","BANFP","BANF","","TP","8.000000","06/27/2025","3/21/2009","3/31/2034","0.450000","7.20%","27.530000","27.000000","33.23","Regionalbank","","37.000000","","","","","","26.240000","-0.760000","-1.290000","26.060000","25.820000","0.680000","1.620000","25.430000","29.450000","24.700000","29.450000","25.970000","0.540000","-3.480000","44.727932","40.979176","74.000000","55.379310","-3.480000","1.270000","49.225037","80.742857"
