"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"INBKZ","INBKZ","INBK","FF","","8.000000","05/15/2025","6/30/2024","6/30/2029","0.540000","6.00%","","","8.70","Regionalbank","","84.000000","","","","","","","","","24.750000","24.880000","-2.260000","-2.780000","23.780000","25.650000","17.000000","25.650000","24.150000","0.370000","-1.500000","58.948005","56.575100","77.056180","28.068966","-1.500000","7.150000","25.618480","47.142857"
"IVR PRC","IVR-C","IVR","NFF","","10.000000","06/05/2025","9/27/2027","NONE","0.470000","7.50%","","","65.94","Reit","","15.000000","","","","","","","","","23.950000","23.770000","3.130000","3.930000","20.230000","25.200000","17.520000","25.200000","24.310000","4.080000","-0.890000","32.877872","32.791316","10.359551","19.655172","-0.890000","6.790000","18.345753","49.200000"
"JXN PRA","JXN-A","JXN","NFF","","10.500000","06/12/2025","3/30/2028","NONE","0.500000","8.00%","","","71.42","Insurance","","22.000000","","","","","","","","","26.180000","26.430000","0.000000","-0.940000","25.250000","27.500000","23.600000","27.690000","25.800000","0.550000","-1.700000","48.016929","50.053168","73.820225","30.827586","-1.890000","2.200000","30.268256","75.428571"
"KEY PRI","KEY-I","KEY","NFF","","10.500000","05/28/2025","12/15/2026","NONE","0.380000","6.13%","","","1095.55","Regionalbank","","7.000000","","","","","","","","","24.880000","24.500000","1.200000","2.780000","23.500000","25.970000","17.660000","25.970000","24.830000","1.330000","-1.140000","42.212817","36.867523","59.797753","23.103448","-1.140000","7.170000","21.326379","47.028571"
"KEY PRL","KEY-L","KEY","NFF","","10.000000","05/28/2025","9/15/2027","NONE","0.390000","6.20%","","","1095.55","Regionalbank","","7.000000","","","","","","","","","24.450000","24.010000","0.910000","2.750000","22.330000","25.650000","16.300000","25.650000","24.310000","1.980000","-1.340000","43.615478","36.973859","48.112360","25.862069","-1.340000","8.010000","23.710879","42.228571"
"KMPB","KMPB","KMPR","NFF","","8.000000","05/30/2025","3/15/2027","3/15/2062","0.370000","5.88%","","","63.97","Insurance","","9.000000","","","","","","","","","22.820000","22.930000","-1.330000","-1.790000","20.690000","23.940000","16.620000","23.940000","22.190000","1.500000","-1.750000","54.449819","53.066017","56.741573","31.517241","-1.750000","5.570000","28.599106","56.171429"
"LBRDP","LBRDP","LBRDA","","","11.000000","06/27/2025","","3/9/2039","0.440000","7.00%","26.230000","21.310000","143.16","Communicationservices","","37.000000","","","","","","","3.490000","-1.430000","24.730000","23.990000","0.270000","3.390000","23.390000","26.880000","20.900000","26.880000","24.540000","1.150000","-2.340000","46.711004","34.705361","63.033708","39.655172","-2.340000","3.640000","35.633383","67.200000"
"LNC PRD","LNC-D","LNC","","","8.000000","05/15/2025","12/1/2027","NONE","0.560000","9.00%","","26.410000","170.70","Insurance","","84.000000","","","","","","","0.300000","","27.040000","27.660000","-1.220000","-3.430000","25.780000","28.890000","24.820000","28.890000","26.670000","0.890000","-2.220000","53.917775","58.879043","67.707865","38.000000","-2.220000","1.850000","34.202683","77.428571"
"MBINL","MBINL","MBIN","","","8.000000","06/12/2025","1/1/2030","NONE","0.480000","7.63%","","","45.76","Regionalbank","","22.000000","","","","","","","","","","","","","22.830000","25.900000","22.830000","25.900000","23.080000","0.250000","-2.820000","","","79.213483","46.275862","-2.820000","0.250000","41.356185","86.571429"
"MBINM","MBINM","MBIN","NFF","","8.000000","06/13/2025","10/1/2027","NONE","0.520000","8.25%","","","45.76","Regionalbank","","23.000000","","","","","","","","","25.680000","25.820000","-1.930000","-2.470000","24.800000","26.920000","21.600000","26.920000","24.790000","-0.010000","-2.130000","57.351874","55.476296","83.887640","36.758621","-2.130000","3.190000","33.129657","69.771429"
"MBNKP","MBNKP","MFIN","FF","","11.500000","06/16/2025","4/1/2025","NONE","0.680000","8.00%","","","23.24","Creditservices","","26.000000","","","","","","","","","25.450000","25.230000","0.570000","1.460000","24.250000","27.000000","21.970000","27.000000","25.120000","0.870000","-1.880000","45.259976","41.546300","68.067416","33.310345","-1.880000","3.150000","30.149031","70.000000"
"MER PRK","MER-K","BAC","","TP","11.500000","06/12/2025","12/15/2011","12/15/2066","0.400000","6.45%","26.450000","24.620000","7537.21","Bank","","22.000000","","","","","","25.430000","0.810000","-1.020000","25.710000","25.730000","-1.080000","-1.170000","25.180000","26.640000","24.510000","26.640000","25.130000","-0.050000","-1.510000","53.240629","50.868409","84.606742","28.206897","-1.510000","0.620000","25.737705","84.457143"
"MET PRA","MET-A","MET","FLR","","8.000000","05/30/2025","9/15/2010","NONE","0.360000","4.00%","","","671.16","Insurance","","9.000000","","","","","","24.400000","","","24.430000","24.530000","-0.140000","-0.550000","22.070000","25.430000","22.000000","25.430000","24.080000","2.010000","-1.350000","48.694075","48.670802","47.573034","26.000000","-1.350000","2.080000","23.830104","76.114286"
"METCL","METCL","METC","","BB","8.000000","07/15/2025","7/30/2023","7/30/2026","0.560000","9.00%","26.320000","25.450000","54.69","Cokingcoal","","55.000000","","","","","","25.520000","0.070000","-0.800000","25.560000","25.640000","-0.150000","-0.480000","24.750000","26.220000","24.180000","26.220000","25.300000","0.550000","-0.920000","48.742443","48.422685","73.820225","20.068966","-0.920000","1.120000","18.703428","81.600000"
"METCZ","METCZ","METC","","","8.000000","04/15/2025","11/30/2026","11/30/2029","0.520000","8.38%","","","54.69","Cokingcoal","","54.000000","","","","","","23.850000","","","","","","","23.180000","25.590000","23.180000","25.590000","23.640000","0.460000","-1.950000","","","75.438202","34.275862","-1.950000","0.460000","30.983607","85.371429"
"MFA PRC","MFA-C","MFA","NFF","","8.000000","06/02/2025","3/31/2025","NONE","0.410000","6.50%","","","102.65","Reit","","12.000000","","","","","","24.360000","","","24.420000","24.030000","-0.230000","1.390000","21.620000","25.030000","17.100000","25.030000","24.000000","2.380000","-1.030000","49.129383","41.794417","40.921348","21.586207","-1.030000","6.900000","20.014903","48.571429"
"MFAN","MFAN","MFA","","BB","8.000000","08/01/2025","2/15/2026","2/15/2029","0.560000","8.88%","","","102.65","Reit","","72.000000","","","","","","24.830000","","","25.010000","25.190000","-0.700000","-1.420000","24.020000","25.820000","24.020000","25.820000","24.720000","0.700000","-1.100000","51.402660","51.754541","71.123596","22.551724","-1.100000","0.700000","20.849478","84.000000"
"MFAO","MFAO","MFA","","BB","8.000000","07/30/2025","8/15/2026","8/15/2029","0.560000","9.00%","","","102.65","Reit","","70.000000","","","","","","24.960000","","","","","","","24.270000","25.850000","24.270000","25.850000","24.840000","0.570000","-1.010000","","","73.460674","21.310345","-1.010000","0.570000","19.776453","84.742857"
"MFICL","MFICL","MFIC","","BB","12.000000","05/27/2025","12/15/2025","12/15/2028","0.500000","8.00%","","","92.92","Assetmanagement","","6.000000","","","","","","25.470000","","","25.430000","25.430000","0.160000","0.150000","25.110000","25.850000","25.000000","25.850000","25.000000","-0.110000","-0.850000","47.243047","46.189632","85.685393","19.103448","-0.850000","0.000000","17.868852","88.000000"
"MGRE","MGRE","AMG","","BB","8.000000","06/26/2025","3/30/2029","3/30/2064","0.420000","6.75%","","","28.79","Assetmanagement","","36.000000","","","","","","23.640000","","","24.350000","25.160000","-2.920000","-6.020000","22.510000","26.510000","22.510000","26.510000","23.390000","0.880000","-3.120000","62.140266","68.059371","67.887640","50.413793","-3.120000","0.880000","44.932936","82.971429"
"MHLA","MHLA","MHLD","","BB","8.000000","05/30/2025","6/14/2021","6/14/2046","0.410000","6.63%","17.510000","15.260000","99.49","Insurance","","9.000000","","","","","","14.820000","-0.440000","-2.690000","14.400000","15.340000","2.920000","-3.380000","12.250000","17.930000","12.250000","18.670000","14.450000","2.200000","-3.480000","33.893591","58.701817","44.157303","55.379310","-4.220000","2.200000","58.047690","75.428571"
"MHNC","MHNC","MHLD","","BB","8.000000","05/15/2025","12/1/2018","12/1/2043","0.480000","7.75%","18.640000","17.600000","99.49","Insurance","","84.000000","","","","","","17.200000","-0.400000","-1.440000","16.760000","17.310000","2.610000","-0.640000","14.850000","19.970000","14.850000","20.650000","17.170000","2.320000","-2.800000","35.392987","48.989809","42.000000","46.000000","-3.480000","2.320000","49.225037","74.742857"
"MITN","MITN","MITT","","BB","8.000000","08/01/2025","2/15/2026","2/15/2029","0.590000","9.50%","","","29.68","Reit","","72.000000","","","","","","25.090000","","","25.120000","25.180000","-0.140000","-0.350000","21.500000","25.600000","21.500000","25.950000","24.970000","3.470000","-0.630000","48.694075","47.961896","21.325843","16.068966","-0.980000","3.470000","19.418778","68.171429"
"MITP","MITP","MITT","","BB","8.000000","07/30/2025","5/15/2026","5/15/2029","0.590000","9.50%","","","29.68","Reit","","70.000000","","","","","","24.970000","","","","","","","24.200000","25.800000","24.200000","25.800000","24.830000","0.630000","-0.970000","","","72.382022","20.758621","-0.970000","0.630000","19.299553","84.400000"
"MITT PRA","MITT-A","MITT","","","8.000000","05/30/2025","9/17/2024","NONE","0.520000","8.25%","20.450000","17.360000","29.68","Reit","","9.000000","","","","","","22.220000","4.860000","1.770000","22.040000","21.650000","0.820000","2.640000","18.600000","23.990000","15.910000","23.990000","21.750000","3.150000","-2.240000","44.050786","37.363757","27.078652","38.275862","-2.240000","5.840000","34.441133","54.628571"
"MITT PRB","MITT-B","MITT","","","8.000000","05/30/2025","9/27/2017","NONE","0.500000","8.00%","20.190000","16.460000","29.68","Reit","","9.000000","","","","","","21.470000","5.010000","1.280000","21.390000","21.040000","0.370000","2.060000","18.410000","23.820000","15.010000","23.820000","21.020000","2.610000","-2.800000","46.227328","39.419584","36.786517","46.000000","-2.800000","6.010000","41.117735","53.657143"
"MITT PRC","MITT-C","MITT","FF","","11.000000","05/30/2025","8/3/2017","NONE","0.710000","8.00%","","","29.68","Reit","","9.000000","","","","","","25.210000","","","24.880000","24.750000","1.320000","1.850000","20.650000","25.500000","17.050000","25.500000","24.570000","3.920000","-0.930000","41.632406","40.163934","13.235955","20.206897","-0.930000","7.520000","18.822653","45.028571"
"MS PRA","MS-A","MS","FLR","","11.000000","06/27/2025","7/15/2011","NONE","0.330000","4.00%","","","1603.20","Bank","","37.000000","","","","","","22.000000","","","23.090000","23.140000","-4.710000","-4.930000","21.000000","24.650000","20.310000","24.650000","21.810000","0.810000","-2.840000","70.798065","64.195835","69.146067","46.551724","-2.840000","1.500000","41.594635","79.428571"
"MS PRE","MS-E","MS","","","11.000000","06/27/2025","10/15/2023","NONE","0.450000","7.13%","26.100000","24.990000","1603.20","Bank","","37.000000","","","","","","25.440000","0.450000","-0.660000","25.440000","25.400000","0.010000","0.150000","25.010000","25.840000","24.930000","26.280000","25.180000","0.170000","-0.660000","47.968561","46.189632","80.651685","16.482759","-1.100000","0.250000","20.849478","86.571429"
"MS PRF","MS-F","MS","","","11.000000","06/27/2025","1/15/2024","NONE","0.430000","6.88%","26.310000","24.430000","1603.20","Bank","","37.000000","","","","","","25.220000","0.790000","-1.090000","25.280000","25.310000","-0.230000","-0.370000","24.870000","25.750000","24.330000","26.050000","24.970000","0.100000","-0.780000","49.129383","48.032787","81.910112","18.137931","-1.080000","0.640000","20.611028","84.342857"
"MS PRI","MS-I","MS","","","11.000000","06/27/2025","10/15/2024","NONE","0.400000","6.38%","26.490000","23.400000","1603.20","Bank","","37.000000","","","","","","24.800000","1.400000","-1.690000","24.970000","25.150000","-0.680000","-1.410000","24.210000","26.750000","23.250000","26.750000","24.560000","0.350000","-2.190000","51.305925","51.719096","77.415730","37.586207","-2.190000","1.310000","33.845007","80.514286"
"MS PRP","MS-P","MS","","","11.000000","06/27/2025","10/15/2027","NONE","0.410000","6.50%","26.330000","24.280000","1603.20","Bank","","37.000000","","","","","","25.480000","1.200000","-0.850000","25.550000","25.890000","-0.290000","-1.590000","24.700000","27.140000","24.250000","27.140000","25.240000","0.540000","-1.900000","49.419589","52.357111","74.000000","33.586207","-1.900000","0.990000","30.387481","82.342857"
"MS PRQ","MS-Q","MS","","","8.000000","06/30/2025","10/15/2029","NONE","0.410000","6.63%","","","1603.20","Bank","","40.000000","","","","","","25.620000","","","","","","","24.820000","27.350000","21.920000","27.350000","25.390000","0.570000","-1.960000","","","73.460674","34.413793","-1.960000","3.470000","31.102832","68.171429"
"MSBIP","MSBIP","MSBI","NFF","","10.500000","06/16/2025","9/30/2027","NONE","0.480000","7.75%","","","21.40","Regionalbank","","26.000000","","","","","","","","","23.930000","24.670000","-0.230000","-3.260000","22.750000","25.770000","20.920000","26.550000","23.530000","0.780000","-2.240000","49.129383","58.276473","69.685393","38.275862","-3.020000","2.610000","43.740686","73.085714"
"MTB PRH","MTB-H","MTB","NFF","","10.500000","06/02/2025","12/15/2026","NONE","0.350000","5.63%","","","160.60","Regionalbank","","12.000000","","","","","","","","","24.540000","24.600000","1.030000","0.770000","23.020000","26.120000","20.220000","26.120000","24.490000","1.470000","-1.630000","43.035067","43.992025","57.280899","29.862069","-1.630000","4.270000","27.168405","63.600000"
"MTB PRJ","MTB-J","MTB","","","8.000000","06/02/2025","6/15/2029","NONE","0.470000","7.50%","","","160.60","Regionalbank","","12.000000","","","","","","","","","","","","","25.000000","28.040000","24.090000","28.040000","26.060000","1.060000","-1.980000","","","64.651685","34.689655","-1.980000","1.970000","31.341282","76.742857"
"NEWTG","NEWTG","NEWT","","BB","8.000000","05/30/2025","6/1/2027","6/1/2029","0.530000","8.50%","","","27.29","Regionalbank","","9.000000","","","","","","","","","","","","","24.000000","25.840000","24.000000","25.840000","24.380000","0.380000","-1.460000","","","76.876404","27.517241","-1.460000","0.380000","25.141580","85.828571"
"NEWTH","NEWTH","NEWT","","BB","8.000000","07/14/2025","10/15/2026","10/15/2029","0.540000","8.63%","","","27.29","Regionalbank","","54.000000","","","","","","","","","","","","","23.000000","25.950000","23.000000","25.950000","24.410000","1.410000","-1.540000","","","58.359551","28.620690","-1.540000","1.410000","26.095380","79.942857"
"NEWTI","NEWTI","NEWT","","BB","8.000000","05/15/2025","9/1/2025","9/1/2028","0.500000","8.00%","","24.800000","27.29","Regionalbank","","84.000000","","","","","","","0.700000","","25.020000","25.110000","1.900000","1.550000","23.900000","26.570000","23.480000","26.570000","25.470000","1.570000","-1.100000","38.827086","41.227293","55.483146","22.551724","-1.100000","1.990000","20.849478","76.628571"
"NEWTZ","NEWTZ","NEWT","","","8.000000","07/11/2025","2/1/2022","2/1/2026","0.340000","5.50%","24.460000","23.610000","27.29","Regionalbank","","51.000000","","","","","","","1.020000","0.170000","24.750000","24.530000","-0.490000","0.400000","24.280000","25.250000","23.100000","26.020000","24.480000","0.200000","-0.770000","50.386941","45.303500","80.112360","18.000000","-1.540000","1.380000","26.095380","80.114286"
"NLY PRF","NLY-F","NLY","FF","","8.000000","06/02/2025","9/30/2022","NONE","0.600000","6.95%","","","26.45","Reit","","12.000000","","","","","","","","","25.610000","25.590000","0.640000","0.710000","21.750000","26.340000","21.750000","26.340000","25.250000","3.500000","-1.090000","44.921403","44.204696","20.786517","22.413793","-1.090000","3.500000","20.730253","68.000000"
"NLY PRG","NLY-G","NLY","FF","","8.000000","06/02/2025","3/31/2023","NONE","0.550000","6.50%","","","26.45","Reit","","12.000000","","","","","","","","","25.010000","25.240000","-0.390000","-1.290000","23.010000","25.750000","22.390000","25.780000","24.430000","1.420000","-1.320000","49.903265","51.293753","58.179775","25.586207","-1.350000","2.040000","23.830104","76.342857"
"NLY PRI","NLY-I","NLY","FF","","9.500000","06/02/2025","6/30/2024","NONE","0.600000","6.75%","","","26.45","Reit","","12.000000","","","","","","","","","25.550000","25.550000","0.410000","0.390000","24.150000","26.050000","21.170000","26.050000","25.130000","0.980000","-0.920000","46.033857","45.338946","66.089888","20.068966","-0.920000","3.960000","18.703428","65.371429"
"NMFCZ","NMFCZ","NMFC","","BB","8.000000","08/01/2025","6/17/2027","NONE","0.520000","8.25%","","","107.59","Assetmanagement","","72.000000","","","","","","","","","25.440000","25.530000","-1.070000","-1.420000","25.090000","26.200000","24.950000","26.740000","25.070000","-0.020000","-1.130000","53.192261","51.754541","84.067416","22.965517","-1.670000","0.120000","27.645306","87.314286"
"NREF PRA","NREF-A","NREF","","","8.000000","07/11/2025","7/24/2025","NONE","0.530000","8.50%","24.000000","18.800000","17.64","Reit","","51.000000","","","","","","","3.000000","-2.200000","22.990000","22.730000","-5.170000","-4.090000","21.470000","24.790000","18.000000","24.790000","21.570000","0.100000","-3.220000","73.022975","61.218432","81.910112","51.793103","-3.220000","3.570000","46.125186","67.600000"
"NYMTG","NYMTG","NYMT","","","8.000000","03/14/2025","4/1/2027","4/1/2030","0.570000","9.13%","","","90.30","Reit","","22.000000","","","","","","","","","","","","","22.700000","25.690000","22.700000","25.690000","23.940000","1.240000","-1.750000","","","61.415730","31.517241","-1.750000","1.240000","28.599106","80.914286"
"NYMTI","NYMTI","NYMT","","BB","8.000000","06/12/2025","7/1/2026","7/1/2029","0.570000","9.13%","","","90.30","Reit","","22.000000","","","","","","","","","","","","","23.090000","26.000000","23.090000","26.000000","24.280000","1.190000","-1.720000","","","62.314607","31.103448","-1.720000","1.190000","28.241431","81.200000"
"NYMTL","NYMTL","NYMT","NFF","","8.000000","07/01/2025","10/15/2026","NONE","0.430000","6.88%","","","90.30","Reit","","41.000000","","","","","","","","","21.690000","21.310000","2.120000","3.940000","19.360000","23.030000","16.610000","23.030000","21.920000","2.560000","-1.110000","37.762999","32.755871","37.685393","22.689655","-1.110000","5.310000","20.968703","57.657143"
"NYMTM","NYMTM","NYMT","FF","","8.000000","07/01/2025","1/15/2025","NONE","0.690000","7.88%","","","90.30","Reit","","41.000000","","","","","","","","","24.630000","24.330000","0.020000","1.270000","22.500000","25.390000","20.070000","25.390000","24.260000","1.760000","-1.130000","47.920193","42.219761","52.067416","22.965517","-1.130000","4.190000","21.207154","64.057143"
"NYMTN","NYMTN","NYMT","NFF","","8.000000","07/01/2025","10/15/2027","NONE","0.500000","8.00%","","","90.30","Reit","","41.000000","","","","","","","","","22.150000","22.100000","-1.290000","-1.110000","19.210000","23.560000","18.710000","23.560000","21.590000","2.380000","-1.970000","54.256348","50.655738","40.921348","34.551724","-1.970000","2.880000","31.222057","71.542857"
"OCCIM","OCCIM","OCCI","","Term","8.000000","05/20/2025","10/31/2026","10/31/2029","0.160000","7.88%","","","20.70","Cef","","89.000000","","","","","","","","","","","","","24.180000","25.210000","24.180000","25.210000","24.730000","0.550000","-0.480000","","","73.820225","14.000000","-0.480000","0.550000","13.457526","84.857143"
"OCCIN","OCCIN","OCCI","","","8.000000","05/20/2025","12/31/2023","12/31/2026","0.110000","5.25%","22.990000","22.070000","20.70","Cef","","89.000000","","","","","","","2.110000","1.190000","23.870000","23.580000","1.280000","2.530000","23.150000","24.560000","21.530000","24.560000","24.180000","1.030000","-0.380000","41.825877","37.753655","65.191011","12.620690","-0.380000","2.650000","12.265276","72.857143"
"OCCIO","OCCIO","OCCI","","","8.000000","05/20/2025","4/30/2023","4/30/2026","0.130000","6.13%","24.870000","23.350000","20.70","Cef","","89.000000","","","","","","","1.450000","-0.070000","24.690000","24.520000","0.450000","1.160000","24.170000","24.990000","22.860000","24.990000","24.800000","0.630000","-0.190000","45.840387","42.609659","72.382022","10.000000","-0.190000","1.940000","10.000000","76.914286"
"OCFCP","OCFCP","OCFC","NFF","","8.000000","07/25/2025","6/1/2025","NONE","0.440000","7.00%","","","58.38","Regionalbank","","65.000000","","","","","","","","","25.190000","25.030000","-0.750000","-0.120000","24.670000","25.900000","21.550000","25.900000","24.880000","0.210000","-1.020000","51.644498","47.146655","79.932584","21.448276","-1.020000","3.330000","19.895678","68.971429"
"OFSSH","OFSSH","OFS","","BB","9.000000","07/11/2025","10/31/2023","10/31/2028","0.310000","4.95%","22.990000","21.000000","13.41","Cef","","51.000000","","","","","","","1.530000","-0.460000","22.580000","22.350000","-0.230000","0.790000","21.880000","22.820000","20.520000","22.820000","22.400000","0.520000","-0.420000","49.129383","43.921134","74.359551","13.172414","-0.420000","1.880000","12.742176","77.257143"
"ONBPO","ONBPO","ONB","","","9.000000","08/01/2025","8/20/2025","NONE","0.440000","7.00%","","","370.09","Regionalbank","","72.000000","","","","","","","","","24.930000","25.070000","-0.310000","-0.890000","24.440000","25.780000","21.360000","27.000000","24.760000","0.320000","-1.020000","49.516324","49.875942","77.955056","21.448276","-2.240000","3.400000","34.441133","68.571429"
"ONBPP","ONBPP","ONB","","","8.000000","08/01/2025","8/20/2025","NONE","0.440000","7.00%","26.930000","22.980000","370.09","Regionalbank","","72.000000","","","","","","","2.180000","-1.770000","25.050000","25.120000","0.420000","0.170000","24.400000","26.200000","20.990000","26.360000","25.070000","0.670000","-1.130000","45.985490","46.118742","71.662921","22.965517","-1.290000","4.080000","23.114754","64.685714"
"OXLCG","OXLCG","OXLC","","","8.000000","06/13/2025","2/28/2030","2/29/2032","0.680000","7.95%","","","437.24","Cef","","23.000000","","","","","","","","","","","","","24.060000","24.890000","24.060000","24.890000","24.060000","0.000000","-0.830000","","","83.707865","18.827586","-0.830000","0.000000","17.630402","88.000000"
"OXLCI","OXLCI","OXLC","","BB","8.000000","06/13/2025","6/30/2028","6/30/2030","0.550000","8.75%","","","437.24","Cef","","23.000000","","","","","","","","","","","","","24.930000","26.180000","24.930000","26.180000","25.150000","0.220000","-1.030000","","","79.752809","21.586207","-1.030000","0.220000","20.014903","86.742857"
"OXLCL","OXLCL","OXLC","","BB","8.000000","06/13/2025","3/16/2024","3/31/2031","0.420000","6.75%","24.650000","22.680000","437.24","Cef","","23.000000","","","","","","","0.540000","-1.430000","23.450000","23.780000","-0.980000","-2.370000","22.750000","24.680000","22.100000","24.680000","22.910000","0.160000","-1.770000","52.756953","55.121843","80.831461","31.793103","-1.770000","0.810000","28.837556","83.371429"
"OXLCN","OXLCN","OXLC","","Term","8.000000","05/16/2025","6/30/2024","6/30/2029","0.150000","7.13%","24.600000","22.920000","437.24","Cef","","85.000000","","","","","","","1.050000","-0.630000","24.080000","24.090000","-0.450000","-0.490000","23.400000","24.500000","22.110000","24.500000","23.960000","0.560000","-0.540000","50.193470","48.458130","73.640449","14.827586","-0.540000","1.850000","14.172876","77.428571"
"OXLCO","OXLCO","OXLC","","","8.000000","05/16/2025","8/31/2024","8/31/2029","0.130000","6.00%","23.370000","21.490000","437.24","Cef","","85.000000","","","","","","22.620000","1.130000","-0.750000","22.860000","22.730000","-1.050000","-0.490000","22.280000","23.470000","20.700000","23.470000","22.610000","0.330000","-0.860000","53.095526","48.458130","77.775281","19.241379","-0.860000","1.910000","17.988077","77.085714"
"OXLCP","OXLCP","OXLC","","","8.000000","05/16/2025","2/28/2023","2/28/2027","0.130000","6.25%","24.000000","22.740000","437.24","Cef","","85.000000","","","","","","24.260000","1.520000","0.260000","24.190000","23.930000","0.310000","1.380000","23.700000","24.460000","22.350000","24.460000","24.250000","0.550000","-0.210000","46.517533","41.829863","73.820225","10.275862","-0.210000","1.900000","10.238450","77.142857"
"OXLCZ","OXLCZ","OXLC","","BB","8.000000","06/13/2025","1/31/2024","1/31/2027","0.310000","5.00%","23.690000","22.310000","437.24","Cef","","23.000000","","","","","","23.860000","1.550000","0.170000","23.870000","23.610000","-0.030000","1.060000","23.330000","24.370000","21.930000","24.370000","23.630000","0.300000","-0.740000","48.162031","42.964112","78.314607","17.586207","-0.740000","1.700000","16.557377","78.285714"
"OXSQG","OXSQG","OXSQ","","BB","8.000000","06/20/2025","5/31/2024","7/31/2028","0.340000","5.50%","23.550000","21.500000","71.37","Cef","","30.000000","","","","","","23.100000","1.610000","-0.440000","23.240000","23.020000","-0.560000","0.400000","22.640000","23.490000","21.300000","23.490000","22.880000","0.240000","-0.610000","50.725514","45.303500","79.393258","15.793103","-0.610000","1.580000","15.007452","78.971429"
"OXSQZ","OXSQZ","OXSQ","","BB","8.000000","06/20/2025","4/30/2022","4/30/2026","0.390000","6.25%","24.700000","23.480000","71.37","Cef","","30.000000","","","","","","24.900000","1.420000","0.200000","24.710000","24.550000","0.770000","1.440000","24.300000","25.000000","23.250000","25.000000","24.640000","0.340000","-0.360000","44.292624","41.617191","77.595506","12.344828","-0.360000","1.390000","12.026826","80.057143"
"PBI PRB","PBI-B","PBI","","BB","8.000000","05/23/2025","3/7/2018","3/7/2043","0.420000","6.70%","23.440000","16.070000","183.19","Integratedfreight&logistics","","2.000000","","","","","","20.190000","4.120000","-3.250000","19.950000","19.620000","1.230000","2.930000","17.310000","22.230000","14.170000","22.230000","19.780000","2.470000","-2.450000","42.067715","36.335844","39.303371","41.172414","-2.450000","5.610000","36.944858","55.942857"
"PDPA","PDPA","-","","","8.000000","05/16/2025","12/31/2026","12/31/2029","0.170000","8.00%","","","-","-","","85.000000","","","","","","24.950000","","","","","","","24.300000","25.840000","24.300000","25.840000","24.940000","0.640000","-0.900000","","","72.202247","19.793103","-0.900000","0.640000","18.464978","84.342857"
"PMT PRA","PMT-A","PMT","","","8.000000","05/28/2025","3/15/2024","NONE","0.510000","8.13%","24.770000","20.800000","87.13","Reit","","7.000000","","","","","","24.720000","3.920000","-0.050000","24.210000","24.270000","2.110000","1.850000","22.680000","26.000000","20.110000","26.000000","24.250000","1.570000","-1.750000","37.811366","40.163934","55.483146","31.517241","-1.750000","4.140000","28.599106","64.342857"
"PMT PRB","PMT-B","PMT","","","8.000000","05/28/2025","6/15/2024","NONE","0.500000","8.00%","25.000000","20.270000","87.13","Reit","","7.000000","","","","","","24.870000","4.590000","-0.140000","24.160000","24.110000","2.900000","3.120000","22.760000","25.210000","19.800000","25.210000","24.400000","1.640000","-0.810000","33.990326","35.662384","54.224719","18.551724","-0.810000","4.600000","17.391952","61.714286"
"PMT PRC","PMT-C","PMT","","","8.000000","05/28/2025","8/24/2026","NONE","0.420000","6.75%","21.210000","16.380000","87.13","Reit","","7.000000","","","","","","19.400000","3.020000","-1.810000","19.390000","19.760000","0.040000","-1.800000","17.510000","21.660000","16.040000","21.660000","19.010000","1.500000","-2.650000","47.823458","53.101462","56.741573","43.931034","-2.650000","2.970000","39.329359","71.028571"
"PMTU","PMTU","PMT","","BB","8.000000","06/13/2025","9/30/2025","9/30/2028","0.530000","8.50%","","24.250000","87.13","Reit","","23.000000","","","","","","25.340000","1.090000","","25.420000","25.570000","-0.310000","-0.900000","24.460000","26.290000","23.750000","26.490000","24.950000","0.490000","-1.340000","49.516324","49.911387","74.898876","25.862069","-1.540000","1.200000","26.095380","81.142857"
"PMTV","PMTV","PMT","","","8.000000","16-May","2/15/2027","2/15/2030","0.560000","9.00%","","","87.13","Reit","","","","","","","","25.080000","","","","","","","24.500000","25.790000","24.500000","25.790000","25.080000","0.580000","-0.710000","","","73.280899","17.172414","-0.710000","0.580000","16.199702","84.685714"
"PNFPP","PNFPP","PNFP","","","8.000000","06/20/2025","9/1/2025","NONE","0.420000","6.75%","26.080000","21.000000","77.52","Regionalbank","","30.000000","","","","","","24.080000","3.080000","-2.000000","24.630000","24.320000","-2.240000","-0.970000","23.760000","25.290000","20.500000","25.290000","23.800000","0.040000","-1.490000","58.851270","50.159504","82.988764","27.931034","-1.490000","3.300000","25.499255","69.142857"
