PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
CMRE PRC,CMRE-C,CMRE,,,8.00,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,119.96,Marineshipping,,,,,,,,25.50,0.33,0.18,25.98,26.09,-1.84,-2.27,25.05,27.19,23.61,27.19
CMRE PRD,CMRE-D,CMRE,,,8.00,07/10/2025,5/13/2020,NONE,0.55,8.75%,25.83,25.07,119.96,Marineshipping,,,,,,,,26.20,1.13,0.37,26.32,26.29,-0.44,-0.35,24.54,27.29,24.54,27.29
CNOBP,CNOBP,CNOB,NFF,,8.00,05/15/2025,9/1/2026,NONE,0.33,5.25%,,,38.47,Regionalbank,,,,,,,,22.45,,,22.63,21.51,-0.78,4.37,20.29,23.42,14.63,23.42
CODI PRA,CODI-A,CODI,,,8.00,06/17/2025,7/30/2022,NONE,0.45,7.25%,25.08,22.03,75.24,Conglomerates,,,,,,,,12.99,-9.04,-12.09,21.97,23.44,-40.88,-44.59,12.85,25.11,12.85,26.06
CODI PRB,CODI-B,CODI,,FF,8.00,06/17/2025,4/30/2028,NONE,0.49,7.88%,26.85,23.50,75.24,Conglomerates,,,,,,,,15.22,-8.28,-11.63,22.40,23.79,-32.07,-36.02,15.15,25.08,15.15,26.50
CODI PRC,CODI-C,CODI,,,8.00,06/17/2025,1/30/2025,NONE,0.49,7.88%,25.79,23.89,75.24,Conglomerates,,,,,,,,15.13,-8.76,-10.66,22.55,23.84,-32.90,-36.54,15.13,25.18,15.13,25.91
CRBD,CRBD,CRBG,,,11.00,05/30/2025,12/15/2029,12/15/2064,0.40,6.38%,,,550.13,Assetmanagement,,,,,,,,23.80,,,,,,,19.76,31.75,19.76,31.75
CSWCZ,CSWCZ,CSWC,,BB,8.00,07/15/2025,8/1/2025,8/1/2028,0.48,7.75%,,25.05,50.37,Assetmanagement,,,,,,,,25.50,0.45,,25.58,25.73,-0.31,-0.88,25.03,26.25,24.79,26.48
CUBI PRE,CUBI-E,CUBI,FF,,8.00,05/30/2025,6/15/2021,NONE,0.61,6.45%,,,31.54,Regionalbank,,,,,,,,25.59,,,25.74,25.64,-0.57,-0.19,24.38,26.44,22.04,26.44
CUBI PRF,CUBI-F,CUBI,FF,,8.00,05/30/2025,12/14/2021,NONE,0.59,6.00%,,,31.54,Regionalbank,,,,,,,,25.76,,,25.44,25.39,1.24,1.44,23.90,25.99,21.00,25.99
DBRG PRH,DBRG-H,DBRG,,,8.00,07/10/2025,4/15/2020,NONE,0.45,7.13%,24.50,21.28,176.33,Assetmanagement,,,,,,,,22.30,1.02,-2.20,23.55,23.90,-5.29,-6.69,20.74,25.80,17.91,25.80
DBRG PRI,DBRG-I,DBRG,,,8.00,07/10/2025,6/5/2022,NONE,0.45,7.15%,24.30,20.80,176.33,Assetmanagement,,,,,,,,22.36,1.56,-1.94,23.54,23.91,-5.01,-6.47,21.01,25.86,17.82,25.86
DBRG PRJ,DBRG-J,DBRG,,,8.00,07/10/2025,9/22/2022,NONE,0.45,7.13%,24.72,21.00,176.33,Assetmanagement,,,,,,,,22.35,1.35,-2.37,23.42,23.78,-4.56,-5.99,20.47,25.66,17.64,25.66
DCOMG,DCOMG,DCOM,NFF,,10.00,06/30/2025,7/15/2029,7/15/2034,0.56,9.00%,,,43.64,Regionalbank,,,,,,,,26.40,,,,,,,24.25,27.64,24.25,27.64
DDT,DDT,DDS,,TP,10.50,07/11/2025,8/12/2003,8/1/2038,0.47,7.50%,27.00,25.40,15.68,Departmentstores,,,,,,,,26.07,0.67,-0.93,25.90,25.87,0.66,0.78,24.39,26.55,24.39,26.59
DRH PRA,DRH-A,DRH,,,8.00,06/20/2025,8/31/2025,NONE,0.52,8.25%,27.00,24.87,205.53,Reit,,,,,,,,25.13,0.26,-1.87,25.09,25.39,0.15,-1.03,23.51,26.26,23.51,27.54
DSX PRB,DSX-B,DSX,,,8.00,07/10/2025,3/14/2019,NONE,0.56,8.88%,25.80,25.16,115.77,Marineshipping,,,,,,,,26.45,1.29,0.65,26.15,26.27,1.15,0.70,23.88,27.75,23.88,27.75
DX PRC,DX-C,DX,NFF,,8.00,06/27/2025,4/25/2025,NONE,0.43,6.90%,,,107.00,Reit,,,,,,,,25.48,,,25.38,25.14,0.41,1.37,24.56,25.74,21.12,25.74
ECC PRD,ECC-D,ECC,,,8.00,05/12/2025,11/29/2026,NONE,0.14,6.75%,23.19,19.60,120.18,Cef,,,,,,,,18.76,-0.84,-4.43,19.54,19.61,-3.99,-4.34,18.08,20.42,18.08,21.45
ECCC,ECCC,ECC,,,8.00,05/12/2025,6/16/2024,6/30/2031,0.14,6.50%,24.15,20.52,120.18,Cef,,,,,,,,22.33,1.81,-1.82,22.84,22.86,-2.25,-2.34,21.87,24.89,20.24,24.89
ECCF,ECCF,ECC,,Term,8.00,05/12/2025,1/18/2026,1/31/2029,0.17,8.00%,,,120.18,Cef,,,,,,,,24.92,,,24.91,24.92,0.03,0.02,24.03,25.55,24.03,25.55
ECCU,ECCU,ECC,,,8.00,05/12/2025,6/30/2027,4/30/2030,0.15,7.75%,,,120.18,Cef,,,,,,,,24.61,,,,,,,23.89,25.45,23.89,25.45
ECCV,ECCV,ECC,,BB,8.00,06/13/2025,1/31/2025,1/31/2029,0.34,5.38%,22.84,21.11,120.18,Cef,,,,,,,,22.99,1.88,0.15,22.91,22.84,0.35,0.64,21.94,23.53,21.03,23.53
ECCW,ECCW,ECC,,BB,8.00,06/13/2025,3/29/2024,3/31/2031,0.42,6.75%,24.50,21.90,120.18,Cef,,,,,,,,23.32,1.42,-1.18,23.67,24.17,-1.49,-3.50,22.28,25.21,21.44,25.21
