"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","9.00","","","","","","20.20","-1.11","-4.15","21.08","21.80","-4.18","-7.32","19.19","22.85","19.19","24.24","19.83","0.64","-3.02","68.23","72.67","72.20","49.03","-4.41","0.64","60.31","84.34","8085.00","7536.00","7342.00","7654.00","42.16","","","","451.65","1.00"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","9.00","","","","","","20.20","-1.11","-4.15","21.08","21.80","-4.18","-7.32","19.19","22.85","19.19","24.24","19.83","0.64","-3.02","68.23","72.67","72.20","49.03","-4.41","0.64","60.31","84.34","8085.00","7536.00","7342.00","7654.00","42.16","","","","451.65","1.00"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","9.00","","","","","","20.20","-1.11","-4.15","21.08","21.80","-4.18","-7.32","19.19","22.85","19.19","24.24","19.83","0.64","-3.02","68.23","72.67","72.20","49.03","-4.41","0.64","60.31","84.34","8085.00","7536.00","7342.00","7654.00","42.16","","","","451.65","1.00"
"ARGD","ARGD","-","","BB","9.50","05/30/2025","9/15/2017","9/15/2042","0.41","6.50%","24.35","21.31","-","-","","9.00","","","","","","20.20","-1.11","-4.15","21.08","21.80","-4.18","-7.32","19.19","22.85","19.19","24.24","19.83","0.64","-3.02","68.23","72.67","72.20","49.03","-4.41","0.64","60.31","84.34","8085.00","7536.00","7342.00","7654.00","42.16","","","","451.65","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","6.00","","","","","","25.21","","","25.06","24.89","0.58","1.27","24.27","25.36","20.76","25.49","24.80","0.53","-0.56","45.21","42.22","74.18","15.10","-0.69","4.04","15.96","64.91","17994.00","18923.00","15081.00","17333.00","42.16","","","","326.75","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","6.00","","","","","","25.21","","","25.06","24.89","0.58","1.27","24.27","25.36","20.76","25.49","24.80","0.53","-0.56","45.21","42.22","74.18","15.10","-0.69","4.04","15.96","64.91","17994.00","18923.00","15081.00","17333.00","42.16","","","","326.75","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","6.00","","","","","","25.21","","","25.06","24.89","0.58","1.27","24.27","25.36","20.76","25.49","24.80","0.53","-0.56","45.21","42.22","74.18","15.10","-0.69","4.04","15.96","64.91","17994.00","18923.00","15081.00","17333.00","42.16","","","","326.75","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","6.00","","","","","","25.21","","","25.06","24.89","0.58","1.27","24.27","25.36","20.76","25.49","24.80","0.53","-0.56","45.21","42.22","74.18","15.10","-0.69","4.04","15.96","64.91","17994.00","18923.00","15081.00","17333.00","42.16","","","","326.75","1.00"
"ARGO PRA","ARGO-A","-","NFF","","8.50","05/27/2025","9/15/2025","NONE","0.44","7.00%","","","-","-","","6.00","","","","","","25.21","","","25.06","24.89","0.58","1.27","24.27","25.36","20.76","25.49","24.80","0.53","-0.56","45.21","42.22","74.18","15.10","-0.69","4.04","15.96","64.91","17994.00","18923.00","15081.00","17333.00","42.16","","","","326.75","1.00"
"ARR PRC","ARR-C","ARR","","","8.00","05/15/2025","1/28/2025","","0.15","7.00%","22.60","18.06","81.90","Reit","","84.00","","","","","","20.60","2.54","-2.00","21.26","21.64","-3.12","-4.79","19.27","23.58","17.85","23.58","20.59","1.32","-2.99","63.11","63.70","59.98","48.62","-2.99","2.74","43.38","72.34","10999.00","10576.00","9895.00","10490.00","42.08","","","","414.65","1.00"
"ASBA","ASBA","ASB","NFF","","11.00","05/15/2025","3/1/2028","3/1/2033","0.41","6.63%","","","165.95","Regionalbank","","84.00","","","","","","24.21","","","24.40","24.03","-0.76","0.73","22.99","25.30","18.82","25.30","24.18","1.19","-1.12","51.69","44.13","62.31","22.83","-1.12","5.36","21.09","57.37","18574.00","16227.00","14883.00","16561.00","61.01","43.61","52.55","74.43","389.17","1.00"
"ASBA","ASBA","ASB","NFF","","11.00","05/15/2025","3/1/2028","3/1/2033","0.41","6.63%","","","165.95","Regionalbank","","84.00","","","","","","24.21","","","24.40","24.03","-0.76","0.73","22.99","25.30","18.82","25.30","24.18","1.19","-1.12","51.69","44.13","62.31","22.83","-1.12","5.36","21.09","57.37","18574.00","16227.00","14883.00","16561.00","61.01","43.61","52.55","74.43","389.17","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","65.00","","","","","","25.09","1.23","-0.18","25.06","25.03","0.12","0.23","24.14","25.98","22.00","25.98","24.95","0.81","-1.03","47.44","45.91","69.15","21.59","-1.03","2.95","20.01","71.14","3922.00","4633.00","5822.00","4792.00","42.16","","","","338.04","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","65.00","","","","","","25.09","1.23","-0.18","25.06","25.03","0.12","0.23","24.14","25.98","22.00","25.98","24.95","0.81","-1.03","47.44","45.91","69.15","21.59","-1.03","2.95","20.01","71.14","3922.00","4633.00","5822.00","4792.00","42.16","","","","338.04","1.00"
