"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"USB PRR","USB","","13.5","12/27/2024","","","0.25","4.00","21.05","14.57","16.40","1.83","-4.65","17.01","17.89","-3.57","-8.35","15.62","20.35","14.24","20.35","35.00","16.25","0.63","-4.10","66.16","61.89","69.66","59.73","-4.80","1.68","60.54","56.84","-4.10","2.01","59.34","73.51","49535.00","48409.00","44966.00","47637.00","73.33","0.06","427.23","2.07","702.15"
"USB PRS","USB","","13.5","12/27/2024","","","0.28","4.50","22.08","16.44","18.71","2.27","-3.37","19.39","20.32","-3.52","-7.91","18.07","22.97","16.22","22.97","35.00","18.54","0.47","-4.43","65.87","59.97","74.05","64.49","-3.54","2.10","47.65","53.04","-4.43","2.32","64.16","70.66","44122.00","40604.00","36887.00","40538.00","73.33","0.06","423.75","2.07","702.15"
"UZD","USM","BB","9.5","11/29/2024","9/1/2025","","0.39","6.25","24.16","16.77","23.84","7.07","-0.32","23.62","23.05","0.95","3.41","22.00","24.20","14.86","24.80","7.00","23.48","1.48","-0.72","39.69","10.57","46.29","11.01","-0.68","6.71","18.39","11.27","-1.32","8.62","18.76","12.93","38350.00","35930.00","18297.00","30859.00","58.62","0.07","250.47","2.07","702.15"
"UZE","USM","BB","9.5","11/29/2024","","","0.34","5.50","21.80","14.93","22.09","7.16","0.29","21.88","21.50","0.96","2.73","20.25","23.22","13.00","23.80","7.00","21.78","1.53","-1.44","39.63","13.54","44.91","21.39","-0.02","6.85","11.64","10.00","-2.02","8.78","28.98","11.47","39467.00","30259.00","26019.00","31915.00","58.62","0.06","250.87","2.07","702.15"
"UZF","USM","BB","9.5","11/29/2024","6/1/2026","","0.34","5.50","21.75","15.44","22.20","6.76","0.45","21.92","21.51","1.28","3.20","20.30","23.50","12.95","23.70","7.00","21.89","1.59","-1.61","37.76","11.48","43.26","23.84","0.14","6.45","10.00","13.62","-1.81","8.94","25.91","10.00","29043.00","23088.00","18002.00","23378.00","58.62","0.06","245.23","2.07","702.15"
"VNO PRL","VNO","","10.5","12/13/2024","","","0.34","5.40","24.16","13.75","17.65","3.90","-6.51","17.57","17.31","0.43","1.97","15.25","19.46","11.36","19.46","21.00","17.39","2.14","-2.07","42.74","16.85","28.14","30.47","-6.77","3.64","80.69","39.08","-2.07","6.03","29.71","36.67","20455.00","17691.00","17232.00","18459.00","59.57","0.08","298.04","2.07","702.15"
"VNO PRM","VNO","","10.5","12/13/2024","","","0.33","5.25","23.40","13.71","17.08","3.37","-6.32","17.14","16.86","-0.37","1.30","14.75","18.99","11.15","18.99","21.00","16.83","2.08","-2.16","47.42","19.78","29.79","31.77","-6.57","3.12","78.64","43.79","-2.16","5.68","31.02","39.87","24557.00","20583.00","13217.00","19452.00","59.57","0.08","307.74","2.07","702.15"
"VNO PRN","VNO","","10.5","12/13/2024","","","0.33","5.25","22.92","13.76","17.00","3.24","-5.92","17.22","16.93","-1.29","0.41","14.81","18.97","11.20","18.97","21.00","16.75","1.94","-2.22","52.81","23.66","33.64","32.63","-6.17","2.99","74.55","44.97","-2.22","5.55","31.90","41.07","18965.00","17990.00","23309.00","20088.00","59.57","0.08","316.75","2.07","702.15"
"VNO PRO","VNO","","10.5","12/13/2024","","","0.28","4.50","19.70","11.60","14.41","2.81","-5.29","14.87","14.85","-3.08","-2.98","12.51","17.34","10.03","17.34","21.00","14.20","1.69","-3.14","63.29","38.46","40.52","45.89","-5.50","2.60","67.70","48.51","-3.14","4.17","45.33","53.71","22641.00","22759.00","17165.00","20855.00","59.57","0.08","353.56","2.07","702.15"
"WAFDP","WAFD","","10","12/27/2024","4/15/2026","","0.30","4.88","22.20","12.60","16.48","3.95","-5.65","16.50","16.87","0.29","-1.90","15.44","19.75","12.02","19.75","35.00","16.37","0.93","-3.38","43.56","33.74","61.41","49.35","-5.83","3.77","71.07","37.90","-3.38","4.35","48.83","52.06","18422.00","19114.00","20874.00","19470.00","51.95","0.07","320.53","2.07","702.15"
"WBS PRF","WBS","","10","12/2/2024","","","0.33","5.25","24.40","15.52","19.31","3.78","-5.10","19.63","20.32","-1.67","-5.01","18.02","22.54","15.10","22.54","10.00","19.01","0.99","-3.53","55.04","47.32","59.76","51.51","-5.39","3.49","66.57","40.44","-3.53","3.91","51.02","56.09","6954.00","7228.00","3740.00","5974.00","59.39","0.07","354.35","2.07","702.15"
"WFC PRA","WFC","","11","11/27/2024","12/15/2025","","0.29","4.70","21.54","17.53","18.68","1.15","-2.86","19.49","20.35","-4.17","-8.19","18.16","22.21","17.36","22.21","5.00","18.41","0.25","-3.80","69.68","61.19","80.10","55.41","-3.13","0.88","43.45","64.09","-3.80","1.05","54.96","82.30","74488.00","65364.00","72287.00","70713.00","78.78","0.06","449.42","2.07","702.15"
"WFC PRC","WFC","","11","11/27/2024","","","0.27","4.38","20.19","16.05","17.50","1.45","-2.69","18.28","19.19","-4.29","-8.82","16.92","21.18","15.89","21.18","5.00","17.25","0.33","-3.93","70.38","63.94","77.90","57.28","-2.94","1.20","41.51","61.19","-3.93","1.36","56.86","79.46","71783.00","60842.00","45457.00","59361.00","78.78","0.06","447.56","2.07","702.15"
"WFC PRD","WFC","","11","11/27/2024","","","0.27","4.25","19.89","15.56","17.06","1.50","-2.83","17.81","18.70","-4.21","-8.79","16.53","20.80","15.47","20.80","5.00","16.80","0.27","-4.00","69.91","63.81","79.55","58.29","-3.09","1.24","43.04","60.83","-4.00","1.33","57.88","79.74","87632.00","82292.00","87871.00","85932.00","78.78","0.06","455.36","2.07","702.15"
"WFC PRY","WFC","","11","11/27/2024","","","0.35","5.63","25.36","21.19","23.02","1.83","-2.34","23.63","24.08","-2.58","-4.41","22.00","25.36","21.08","25.36","5.00","22.69","0.69","-2.67","60.37","44.70","68.01","39.12","-2.67","1.50","38.75","58.47","-2.67","1.61","38.47","77.17","46935.00","38849.00","29591.00","38458.00","78.78","0.06","400.43","2.07","702.15"
"WFC PRZ","WFC","","11","11/27/2024","","","0.30","4.75","21.80","17.49","18.98","1.49","-2.82","19.78","20.47","-4.04","-7.30","18.45","22.29","17.33","22.29","5.00","18.70","0.25","-3.59","68.92","57.31","80.10","52.38","-3.10","1.21","43.15","61.10","-3.59","1.37","51.90","79.37","162798.00","138047.00","140938.00","147261.00","78.78","0.06","460.23","2.07","702.15"
"WRB PRE","WRB","BB","11.5","12/13/2024","","","0.36","5.70","25.59","21.77","21.67","-0.10","-3.92","22.39","23.79","-3.23","-8.92","20.43","25.62","20.43","25.68","21.00","21.39","0.96","-4.23","64.17","64.38","60.58","61.60","-4.20","-0.38","54.40","75.50","-4.29","0.96","62.12","83.13","9073.00","12399.00","11435.00","10969.00","73.47","0.07","433.90","2.07","702.15"
"WRB PRF","WRB","BB","11.5","12/13/2024","","","0.32","5.10","24.51","18.93","19.40","0.47","-5.11","20.22","21.49","-4.03","-9.72","19.00","24.54","18.79","24.54","21.00","19.15","0.15","-5.39","68.86","67.87","82.85","78.32","-5.36","0.22","66.27","70.07","-5.39","0.36","78.18","88.63","19806.00","22803.00","18314.00","20308.00","73.47","0.07","464.08","2.07","702.15"
"WRB PRG","WRB","BB","11.5","12/13/2024","","","0.27","4.25","21.25","17.35","16.37","-0.98","-4.88","17.24","18.67","-5.07","-12.32","15.95","21.10","15.95","22.29","21.00","16.16","0.21","-4.94","74.95","79.22","81.20","71.84","-5.09","-1.19","63.50","82.84","-6.13","0.21","88.98","90.00","7005.00","7621.00","6995.00","7207.00","73.47","0.06","472.82","2.07","702.15"
"WRB PRH","WRB","BB","11.5","12/13/2024","","","0.26","4.13","20.85","15.60","15.97","0.37","-4.88","16.98","18.24","-5.96","-12.44","15.55","21.15","15.40","21.15","21.00","15.77","0.22","-5.38","80.16","79.74","80.93","78.18","-5.08","0.17","63.40","70.52","-5.38","0.37","78.03","88.53","11033.00","11602.00","16861.00","13165.00","73.47","0.06","471.56","2.07","702.15"
