"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"BHFAM","BHF","","10.5","12/6/2024","","","0.29","4.63","21.13","13.35","14.91","1.56","-6.22","14.81","16.20","0.65","-7.97","13.28","18.95","13.03","18.95","14.00","14.67","1.39","-4.28","41.45","60.23","48.76","62.32","-6.46","1.32","77.52","60.10","-4.28","1.64","61.97","76.90","34139.00","35564.00","26902.00","32202.00","61.22","0.08","395.99","2.07","702.15"
"BHFAN","BHF","","10","12/6/2024","","","0.34","5.38","22.69","15.27","16.25","1.06","-6.36","16.46","18.49","-0.77","-11.67","14.54","21.63","14.54","21.63","14.00","16.04","1.50","-5.59","49.77","76.38","45.74","81.21","-6.65","0.77","79.46","65.08","-5.59","1.50","81.09","78.18","62753.00","68287.00","57737.00","62926.00","61.22","0.08","437.94","2.07","702.15"
"BHFAO","BHF","","10","12/6/2024","6/25/2025","","0.42","6.75","26.51","21.17","20.15","-1.02","-6.36","21.10","23.43","-4.52","-14.01","18.53","26.00","18.53","26.00","14.00","19.80","1.27","-6.20","71.73","86.60","52.06","90.00","-6.71","-1.37","80.08","84.47","-6.20","1.27","90.00","80.29","32342.00","41254.00","37178.00","36925.00","61.22","0.08","469.52","2.07","702.15"
"BHFAP","BHF","","10","12/6/2024","","","0.41","6.60","26.10","20.01","19.69","-0.32","-6.41","20.68","22.68","-4.77","-13.19","18.38","25.51","18.38","25.51","14.00","19.34","0.96","-6.17","73.19","83.02","60.58","89.57","-6.76","-0.67","80.59","78.13","-6.17","0.96","89.56","83.13","31097.00","36176.00","33633.00","33635.00","61.22","0.08","468.25","2.07","702.15"
"BOH PRA","BOH","","12","10/17/2024","8/1/2026","","0.27","4.38","20.44","13.05","15.47","2.41","-4.98","15.89","16.60","-2.71","-6.85","14.51","19.24","12.86","19.24","54.00","15.35","0.84","-3.89","61.13","55.35","63.88","56.70","-5.09","2.30","63.50","51.22","-3.89","2.49","56.28","69.11","8906.00","6306.00","4007.00","6406.00","56.70","0.07","373.30","2.07","702.15"
"BWBBP","BWB","","NR","11/11/2024","8/17/2026","","0.37","5.88","23.52","16.57","18.78","2.24","-4.71","19.14","19.06","-1.73","-1.33","18.10","22.00","14.48","22.00","79.00","18.76","0.66","-3.24","55.39","31.25","68.83","47.33","-4.76","2.19","60.13","52.22","-3.24","4.28","46.79","52.70","3211.00","2213.00","1308.00","2244.00","49.51","0.08","327.24","2.07","702.15"
"CADE PRA","CADE","","NR","11/1/2024","11/20/2024","","0.34","5.50","24.16","16.69","20.88","4.19","-3.28","21.16","21.18","-1.34","-1.43","19.60","23.49","16.13","23.49","69.00","20.80","1.20","-2.69","53.10","31.69","53.99","39.41","-3.36","4.11","45.81","34.82","-2.69","4.67","38.76","49.13","9639.00","11241.00","13238.00","11373.00","32.11","0.07","265.07","2.07","702.15"
"CFG PRE","CFG","","10","12/18/2024","","","0.31","5.00","22.34","16.20","19.20","3.00","-3.14","19.61","20.38","-2.09","-5.81","17.99","23.38","15.17","23.38","26.00","18.98","0.99","-4.40","57.50","50.81","59.76","64.05","-3.36","2.78","45.81","46.87","-4.40","3.81","63.72","57.01","32336.00","35357.00","27936.00","31876.00","60.61","0.07","375.64","2.07","702.15"
"CFR PRB","CFR","","11.5","11/27/2024","","","0.28","4.45","21.80","15.89","17.73","1.84","-4.07","17.72","18.78","0.05","-5.58","16.34","22.15","15.60","22.15","5.00","17.47","1.13","-4.68","44.96","49.80","55.91","68.09","-4.33","1.58","55.73","57.75","-4.68","1.87","67.81","74.79","9407.00","10277.00","8416.00","9367.00","63.63","0.06","375.05","2.07","702.15"
"CIM PRA","CIM","","NR","12/11/2024","10/21/2021","","0.50","8.00","22.82","18.15","22.32","4.17","-0.50","21.96","22.52","1.62","-0.87","19.85","24.56","17.33","24.56","19.00","21.93","2.08","-2.63","35.77","29.25","29.79","38.54","-0.89","3.78","20.54","37.81","-2.63","4.60","37.88","49.77","9499.00","10303.00","6691.00","8831.00","18.64","0.09","225.73","2.07","702.15"
